-1.5708,-4.87609e-20,-1.57,
-1.5708,-4.87609e-20,-1.57,
-1.57083,3.97681e-05,-1.57173,
-1.57084,-1.84397e-05,-1.57175,
-1.57084,-2.44689e-07,-1.57177,
-1.57084,-2.45985e-07,-1.57179,
-1.57084,-2.74929e-07,-1.57181,
-1.57084,-3.01377e-07,-1.57183,
-1.57084,-3.27788e-07,-1.57185,
-1.57084,-3.5419e-07,-1.57187,
-1.57084,-3.80606e-07,-1.57188,
-1.57084,-4.07057e-07,-1.5719,
-1.57085,-4.33566e-07,-1.57192,
-1.57085,-4.60155e-07,-1.57194,
-1.57085,-4.86847e-07,-1.57196,
-1.57085,-5.13664e-07,-1.57198,
-1.57085,-5.40627e-07,-1.572,
-1.57085,-5.67758e-07,-1.57201,
-1.57085,-5.95079e-07,-1.57203,
-1.57086,-6.22609e-07,-1.57205,
-1.57086,-6.50368e-07,-1.57207,
-1.57086,-6.78375e-07,-1.57209,
-1.57086,-7.06647e-07,-1.5721,
-1.57086,-7.35203e-07,-1.57212,
-1.57086,-7.64057e-07,-1.57214,
-1.57086,-7.93225e-07,-1.57215,
-1.57087,-8.22721e-07,-1.57217,
-1.57087,-8.52556e-07,-1.57219,
-1.57087,-8.82743e-07,-1.57221,
-1.57087,-9.13291e-07,-1.57222,
-1.57087,-9.44209e-07,-1.57224,
-1.57087,-9.75503e-07,-1.57226,
-1.57088,-1.00718e-06,-1.57227,
-1.57088,-1.03924e-06,-1.57229,
-1.57088,-1.07169e-06,-1.5723,
-1.57088,-1.10454e-06,-1.57232,
-1.57088,-1.13777e-06,-1.57233,
-1.57088,-1.17139e-06,-1.57235,
-1.57089,-1.20539e-06,-1.57237,
-1.57089,-1.23977e-06,-1.57238,
-1.57089,-1.27452e-06,-1.5724,
-1.57089,-1.30964e-06,-1.57241,
-1.57089,-1.34512e-06,-1.57243,
-1.5709,-1.38093e-06,-1.57244,
-1.5709,-1.41708e-06,-1.57246,
-1.5709,-1.45354e-06,-1.57247,
-1.5709,-1.49031e-06,-1.57249,
-1.5709,-1.52735e-06,-1.5725,
-1.57091,-1.56467e-06,-1.57251,
-1.57091,-1.60223e-06,-1.57253,
-1.57091,-1.64002e-06,-1.57254,
-1.57091,-1.67801e-06,-1.57256,
-1.57091,-1.71619e-06,-1.57257,
-1.57092,-1.75452e-06,-1.57258,
-1.57092,-1.79299e-06,-1.5726,
-1.57092,-1.83156e-06,-1.57261,
-1.57092,-1.87022e-06,-1.57262,
-1.57093,-1.90892e-06,-1.57264,
-1.57093,-1.94766e-06,-1.57265,
-1.57093,-1.98638e-06,-1.57266,
-1.57093,-2.02508e-06,-1.57268,
-1.57094,-2.06371e-06,-1.57269,
-1.57094,-2.10225e-06,-1.5727,
-1.57094,-2.14066e-06,-1.57271,
-1.57094,-2.17891e-06,-1.57273,
-1.57094,-2.21697e-06,-1.57274,
-1.57095,-2.25481e-06,-1.57275,
-1.57095,-2.2924e-06,-1.57276,
-1.57095,-2.3297e-06,-1.57278,
-1.57095,-2.36667e-06,-1.57279,
-1.57096,-2.4033e-06,-1.5728,
-1.57096,-2.43953e-06,-1.57281,
-1.57096,-2.47535e-06,-1.57282,
-1.57096,-2.51071e-06,-1.57284,
-1.57097,-2.54559e-06,-1.57285,
-1.57097,-2.57995e-06,-1.57286,
-1.57097,-2.61375e-06,-1.57287,
-1.57098,-2.64697e-06,-1.57288,
-1.57098,-2.67957e-06,-1.57289,
-1.57098,-2.71152e-06,-1.5729,
-1.57098,-2.74279e-06,-1.57292,
-1.57099,-2.77334e-06,-1.57293,
-1.57099,-2.80315e-06,-1.57294,
-1.57099,-2.83218e-06,-1.57295,
-1.57099,-2.8604e-06,-1.57296,
-1.571,-2.88779e-06,-1.57297,
-1.571,-2.9143e-06,-1.57298,
-1.571,-2.93992e-06,-1.57299,
-1.571,-2.96461e-06,-1.573,
-1.57101,-2.98835e-06,-1.57301,
-1.57101,-3.0111e-06,-1.57302,
-1.57101,-3.03283e-06,-1.57304,
-1.57102,-3.05353e-06,-1.57305,
-1.57102,-3.07316e-06,-1.57306,
-1.57102,-3.0917e-06,-1.57307,
-1.57102,-3.10911e-06,-1.57308,
-1.57103,-3.12538e-06,-1.57309,
-1.57103,-3.14048e-06,-1.5731,
